Date,Children apprehended and placed in CBP custody,Children transferred out of CBP custody,Children discharged from HHS Care,Children in CBP custody,Children in HHS Care
2023-05-02,293,312,294,655,7848
2023-05-03,241,226,290,670,7784
2023-05-04,262,271,230,661,7825
2023-05-05,235,231,252,665,7804
2023-05-06,244,227,250,682,7781
2023-05-07,235,226,263,691,7744
2023-05-08,280,316,305,655,7755
2023-05-09,230,241,226,644,7770
2023-05-10,264,242,197,666,7815
2023-05-11,264,258,252,672,7821
2023-05-12,249,226,245,695,7802
2023-05-13,232,246,254,681,7794
2023-05-14,270,263,243,688,7814
2023-05-15,282,263,262,707,7815
2023-05-16,293,279,303,721,7791
2023-05-17,240,231,245,730,7777
2023-05-18,233,238,244,725,7771
2023-05-19,242,215,249,752,7737
2023-05-20,234,251,187,735,7801
2023-05-21,267,318,287,684,7832
2023-05-22,261,297,266,648,7863
2023-05-23,251,211,179,688,7895
2023-05-24,266,285,294,669,7886
2023-05-25,252,237,223,684,7900
2023-05-26,255,265,224,674,7941
2023-05-27,196,200,167,670,7974
2023-05-28,256,227,250,699,7951
2023-05-29,218,252,244,665,7959
2023-05-30,265,251,244,679,7966
2023-05-31,255,202,248,732,7920
2023-06-01,251,215,210,768,7925
2023-06-02,213,199,217,782,7907
2023-06-03,219,247,303,754,7851
2023-06-04,228,234,251,748,7834
2023-06-05,254,254,303,748,7785
2023-06-06,232,216,231,764,7770
2023-06-07,248,251,206,761,7815
2023-06-08,239,241,239,759,7817
2023-06-09,206,226,213,739,7830
2023-06-10,232,245,227,726,7848
2023-06-11,220,233,296,713,7785
2023-06-12,247,247,268,713,7764
2023-06-13,255,248,236,720,7776
2023-06-14,221,259,246,682,7789
2023-06-15,258,253,277,687,7765
2023-06-16,250,234,173,703,7826
2023-06-17,187,185,215,705,7796
2023-06-18,193,195,222,703,7769
2023-06-19,248,263,256,688,7776
2023-06-20,237,253,225,672,7804
2023-06-21,231,245,236,658,7813
2023-06-22,234,256,197,636,7872
2023-06-23,206,233,242,609,7863
2023-06-24,236,203,216,642,7850
2023-06-25,204,195,203,651,7842
2023-06-26,187,134,161,704,7815
2023-06-27,238,200,203,742,7812
2023-06-28,244,263,254,723,7821
2023-06-29,229,228,202,724,7847
2023-06-30,196,220,238,700,7829
2023-07-01,208,224,244,684,7809
2023-07-02,190,151,153,723,7807
2023-07-03,210,252,297,681,7762
2023-07-04,221,251,250,651,7763
2023-07-05,202,207,208,646,7762
2023-07-06,209,210,210,645,7762
2023-07-07,197,189,169,653,7782
2023-07-08,202,207,160,648,7829
2023-07-09,198,195,174,651,7850
2023-07-10,224,229,264,646,7815
2023-07-11,227,196,188,677,7823
2023-07-12,215,202,209,690,7816
2023-07-13,196,204,194,682,7826
2023-07-14,197,172,160,707,7838
2023-07-15,179,189,160,697,7867
2023-07-16,203,206,208,694,7865
2023-07-17,216,159,171,751,7853
2023-07-18,221,221,203,751,7871
2023-07-19,222,262,312,711,7821
2023-07-20,189,191,195,709,7817
2023-07-21,177,199,181,687,7835
2023-07-22,191,181,205,697,7811
2023-07-23,193,195,204,695,7802
2023-07-24,218,234,209,679,7827
2023-07-25,190,192,175,677,7844
2023-07-26,190,181,167,686,7858
2023-07-27,178,157,177,707,7838
2023-07-28,185,145,146,747,7837
2023-07-29,173,180,187,740,7830
2023-07-30,226,240,273,726,7797
2023-07-31,207,175,153,758,7819
2023-08-01,209,219,211,748,7827
2023-08-02,215,204,217,759,7814
2023-08-03,178,190,187,747,7817
2023-08-04,156,136,138,767,7815
2023-08-05,192,211,226,748,7800
2023-08-06,177,211,248,714,7763
2023-08-07,201,164,155,751,7772
2023-08-08,231,227,222,755,7777
2023-08-09,193,211,204,737,7784
2023-08-10,161,178,208,720,7754
2023-08-11,200,218,187,702,7785
2023-08-12,162,184,189,680,7780
2023-08-13,176,202,209,654,7773
2023-08-14,197,129,138,722,7764
2023-08-15,208,223,235,707,7752
2023-08-16,182,215,201,674,7766
2023-08-17,179,187,228,666,7725
2023-08-18,188,184,181,670,7728
2023-08-19,142,142,133,670,7737
2023-08-20,185,197,169,658,7765
2023-08-21,201,189,151,670,7803
2023-08-22,193,158,164,705,7797
2023-08-23,192,209,172,688,7834
2023-08-24,189,203,196,674,7841
2023-08-25,167,199,247,642,7793
2023-08-26,173,176,196,639,7773
2023-08-27,176,189,187,626,7775
2023-08-28,181,188,187,619,7776
2023-08-29,168,152,171,635,7757
2023-08-30,168,126,98,677,7785
2023-08-31,173,167,158,683,7794
2023-09-01,150,157,168,676,7783
2023-09-02,162,154,97,684,7840
2023-09-03,163,186,218,661,7808
2023-09-04,181,189,175,653,7822
2023-09-05,206,190,211,669,7801
2023-09-06,195,215,233,649,7783
2023-09-07,169,146,132,672,7797
2023-09-08,177,186,154,663,7829
2023-09-09,168,220,185,611,7864
2023-09-10,160,161,166,610,7859
2023-09-11,186,210,200,586,7869
2023-09-12,202,189,163,599,7895
2023-09-13,189,178,175,610,7898
2023-09-14,144,101,80,653,7919
2023-09-15,139,198,186,594,7931
2023-09-16,140,131,137,603,7925
2023-09-17,175,132,152,646,7905
2023-09-18,178,174,197,650,7882
2023-09-19,163,181,215,632,7848
2023-09-20,173,180,195,625,7833
2023-09-21,155,119,99,661,7853
2023-09-22,149,179,173,631,7859
2023-09-23,155,151,155,635,7855
2023-09-24,147,149,125,633,7879
2023-09-25,151,129,125,655,7883
2023-09-26,197,189,137,663,7935
2023-09-27,188,171,210,680,7896
2023-09-28,156,157,160,679,7893
2023-09-29,152,190,132,641,7951
2023-09-30,143,139,161,645,7929
2023-10-01,146,164,194,627,7899
2023-10-02,163,172,177,618,7894
2023-10-03,200,166,159,652,7901
2023-10-04,166,141,121,677,7921
2023-10-05,174,165,159,686,7927
2023-10-06,155,153,130,688,7950
2023-10-07,165,149,157,704,7942
2023-10-08,158,132,158,730,7916
2023-10-09,187,193,160,724,7949
2023-10-10,203,222,222,705,7949
2023-10-11,173,170,193,708,7926
2023-10-12,149,125,104,732,7947
2023-10-13,141,118,109,755,7956
2023-10-14,142,137,123,760,7970
2023-10-15,163,223,235,700,7958
2023-10-16,185,183,168,702,7973
2023-10-17,163,126,72,739,8027
2023-10-18,158,164,203,733,7988
2023-10-19,131,153,143,711,7998
2023-10-20,156,148,124,719,8022
2023-10-21,157,111,119,765,8014
2023-10-22,166,177,197,754,7994
2023-10-23,169,206,185,717,8015
2023-10-24,180,207,214,690,8008
2023-10-25,173,195,240,668,7963
2023-10-26,163,146,134,685,7975
2023-10-27,150,189,181,646,7983
2023-10-28,168,181,174,633,7990
2023-10-29,182,158,180,657,7968
2023-10-30,189,220,262,626,7926
2023-10-31,184,164,168,646,7922
2023-11-01,183,205,152,624,7975
2023-11-02,167,162,173,629,7964
2023-11-03,152,190,216,591,7938
2023-11-04,153,134,82,610,7990
2023-11-05,176,133,121,653,8002
2023-11-06,174,172,123,655,8051
2023-11-07,314,305,247,664,8109
2023-11-08,294,231,230,727,8110
2023-11-09,252,243,261,736,8092
2023-11-10,257,259,276,734,8075
2023-11-11,269,259,251,744,8083
2023-11-12,277,290,322,731,8051
2023-11-13,298,301,327,728,8025
2023-11-14,292,317,330,703,8012
2023-11-15,263,325,325,641,8012
2023-11-16,275,280,272,636,8020
2023-11-17,261,250,270,647,8000
2023-11-18,293,305,360,635,7945
2023-11-19,268,251,244,652,7952
2023-11-20,295,312,271,635,7993
2023-11-21,294,297,273,632,8017
2023-11-22,269,284,250,617,8051
2023-11-23,318,318,339,617,8030
2023-11-24,277,302,340,592,7992
2023-11-25,173,159,118,606,8033
2023-11-26,183,150,165,639,8018
2023-11-27,198,226,217,611,8027
2023-11-28,187,220,241,578,8006
2023-11-29,197,154,190,621,7970
2023-11-30,152,134,123,639,7981
2023-12-01,177,186,190,630,7977
2023-12-02,166,209,173,587,8013
2023-12-03,223,193,256,617,7950
2023-12-04,202,195,193,624,7952
2023-12-05,211,235,244,600,7943
2023-12-06,208,219,240,589,7922
2023-12-07,174,127,136,636,7913
2023-12-08,180,110,80,706,7943
2023-12-09,183,194,161,695,7976
2023-12-10,185,193,258,687,7911
2023-12-11,209,197,191,699,7917
2023-12-12,230,224,265,705,7876
2023-12-13,212,217,265,700,7828
2023-12-14,200,186,165,714,7849
2023-12-15,182,187,155,709,7881
2023-12-16,188,153,158,744,7876
2023-12-17,189,147,144,786,7879
2023-12-18,206,187,179,805,7887
2023-12-19,205,232,237,778,7882
2023-12-20,224,218,243,784,7857
2023-12-21,198,214,199,768,7872
2023-12-22,173,160,153,781,7879
2023-12-23,194,181,201,794,7859
2023-12-24,206,206,242,794,7823
2023-12-25,206,231,177,769,7877
2023-12-26,237,251,255,755,7873
2023-12-27,215,180,138,790,7915
2023-12-28,204,175,145,819,7945
2023-12-29,201,214,207,806,7952
2023-12-30,199,210,158,795,8004
2023-12-31,214,235,266,774,7973
2024-01-01,244,234,258,784,7949
2024-01-02,251,282,292,753,7939
2024-01-03,213,217,174,749,7982
2024-01-04,213,230,194,732,8018
2024-01-05,198,190,177,740,8031
2024-01-06,191,195,191,736,8035
2024-01-07,201,182,163,755,8054
2024-01-08,222,196,203,781,8047
2024-01-09,250,262,230,769,8079
2024-01-10,215,248,197,736,8130
2024-01-11,177,180,203,733,8107
2024-01-12,185,156,103,762,8160
2024-01-13,197,197,170,762,8187
2024-01-14,244,238,258,768,8167
2024-01-15,235,251,301,752,8117
2024-01-16,253,287,328,718,8076
2024-01-17,220,254,274,684,8056
2024-01-18,236,231,236,689,8051
2024-01-19,210,172,187,727,8036
2024-01-20,176,183,209,720,8010
2024-01-21,249,289,304,680,7995
2024-01-22,264,246,255,698,7986
2024-01-23,227,253,212,672,8027
2024-01-24,238,233,200,677,8060
2024-01-25,243,233,256,687,8037
2024-01-26,207,205,241,689,8001
2024-01-27,218,208,246,699,7963
2024-01-28,247,244,207,702,8000
2024-01-29,260,315,291,647,8024
2024-01-30,260,282,269,625,8037
2024-01-31,241,241,229,625,8049
2024-02-01,227,223,241,629,8031
2024-02-02,237,253,268,613,8016
2024-02-03,244,203,182,654,8037
2024-02-04,244,227,250,671,8014
2024-02-05,275,271,299,675,7986
2024-02-06,246,234,206,687,8014
2024-02-07,252,305,265,634,8054
2024-02-08,247,190,203,691,8041
2024-02-09,228,235,268,684,8008
2024-02-10,254,204,226,734,7986
2024-02-11,270,265,285,739,7966
2024-02-12,244,220,207,763,7979
2024-02-13,242,240,246,765,7973
2024-02-14,261,271,270,755,7974
2024-02-15,251,280,249,726,8005
2024-02-16,217,225,220,718,8010
2024-02-17,225,201,224,742,7987
2024-02-18,269,283,275,728,7995
2024-02-19,249,241,229,736,8007
2024-02-20,270,291,341,715,7957
2024-02-21,264,270,243,709,7984
2024-02-22,253,233,210,729,8007
2024-02-23,233,257,238,705,8026
2024-02-24,252,248,242,709,8032
2024-02-25,267,308,343,668,7997
2024-02-26,297,300,276,665,8021
2024-02-27,282,282,224,665,8079
2024-02-28,290,315,351,640,8043
2024-02-29,246,264,227,622,8080
2024-03-01,253,239,237,636,8082
2024-03-02,227,231,230,632,8083
2024-03-03,253,205,224,680,8064
2024-03-04,270,291,247,659,8108
2024-03-05,259,256,268,662,8096
2024-03-06,272,287,326,647,8057
2024-03-07,253,264,293,636,8028
2024-03-08,268,264,241,640,8051
2024-03-09,249,246,258,643,8039
2024-03-10,255,231,222,667,8048
2024-03-11,250,215,187,702,8076
2024-03-12,261,239,236,724,8079
2024-03-13,258,268,267,714,8080
2024-03-14,223,212,215,725,8077
2024-03-15,264,239,263,750,8053
2024-03-16,246,277,291,719,8039
2024-03-17,286,296,325,709,8010
2024-03-18,282,259,237,732,8032
2024-03-19,277,323,366,686,7989
2024-03-20,255,287,280,654,7996
2024-03-21,262,263,227,653,8032
2024-03-22,257,237,213,673,8056
2024-03-23,237,223,189,687,8090
2024-03-24,258,235,228,710,8097
2024-03-25,313,320,315,703,8102
2024-03-26,304,318,340,689,8080
2024-03-27,289,223,214,755,8089
2024-03-28,259,236,215,778,8110
2024-03-29,258,295,301,741,8104
2024-03-30,242,227,257,756,8074
2024-03-31,246,246,230,756,8090
2024-04-01,287,331,337,712,8084
2024-04-02,299,285,259,726,8110
2024-04-03,258,216,214,768,8112
2024-04-04,230,221,206,777,8127
2024-04-05,246,263,225,760,8165
2024-04-06,269,256,289,773,8132
2024-04-07,301,299,312,775,8119
2024-04-08,275,281,270,769,8130
2024-04-09,239,248,245,760,8133
2024-04-10,265,268,279,757,8122
2024-04-11,261,287,246,731,8163
2024-04-12,245,239,249,737,8153
2024-04-13,251,251,265,737,8139
2024-04-14,254,231,250,760,8120
2024-04-15,309,340,350,729,8110
2024-04-16,266,270,264,725,8116
2024-04-17,266,277,248,714,8145
2024-04-18,252,270,246,696,8169
2024-04-19,225,262,275,659,8156
2024-04-20,248,258,279,649,8135
2024-04-21,260,259,266,650,8128
2024-04-22,293,302,243,641,8187
2024-04-23,270,294,291,617,8190
2024-04-24,257,252,281,622,8161
2024-04-25,261,232,249,651,8144
2024-04-26,237,276,265,612,8155
2024-04-27,240,246,268,606,8133
2024-04-28,282,290,266,598,8157
2024-04-29,248,246,270,600,8133
2024-04-30,305,282,262,623,8153
2024-05-01,246,232,236,637,8149
2024-05-02,255,262,266,630,8145
2024-05-03,200,150,152,680,8143
2024-05-04,228,229,182,679,8190
2024-05-05,247,255,235,671,8210
2024-05-06,297,286,280,682,8216
2024-05-07,284,298,312,668,8202
2024-05-08,258,274,307,652,8169
2024-05-09,275,306,322,621,8153
2024-05-10,213,223,225,611,8151
2024-05-11,255,224,212,642,8163
2024-05-12,241,247,280,636,8130
2024-05-13,252,241,251,647,8120
2024-05-14,255,268,290,634,8098
2024-05-15,257,253,260,638,8091
2024-05-16,224,207,225,655,8073
2024-05-17,250,298,295,607,8076
2024-05-18,217,227,242,597,8061
2024-05-19,252,235,312,614,7984
2024-05-20,263,240,220,637,8004
2024-05-21,279,277,280,639,8001
2024-05-22,261,232,243,668,7990
2024-05-23,223,204,226,687,7968
2024-05-24,227,207,245,707,7930
2024-05-25,231,262,338,676,7854
2024-05-26,272,258,237,690,7875
2024-05-27,253,227,238,716,7864
2024-05-28,245,260,277,701,7847
2024-05-29,255,263,216,693,7894
2024-05-30,268,270,269,691,7895
2024-05-31,216,229,250,678,7874
2024-06-01,196,197,203,677,7868
2024-06-02,224,224,220,677,7872
2024-06-03,243,239,243,681,7868
2024-06-04,257,251,241,687,7878
2024-06-05,258,249,272,696,7855
2024-06-06,205,207,209,694,7853
2024-06-07,220,189,193,725,7849
2024-06-08,226,214,187,737,7876
2024-06-09,220,233,248,724,7861
2024-06-10,229,269,247,684,7883
2024-06-11,223,221,200,686,7904
2024-06-12,248,269,284,665,7889
2024-06-13,186,210,185,641,7914
2024-06-14,225,168,198,698,7884
2024-06-15,209,217,247,690,7854
2024-06-16,202,199,213,693,7840
2024-06-17,230,227,180,696,7887
2024-06-18,269,247,266,718,7868
2024-06-19,206,143,111,781,7900
2024-06-20,203,171,206,813,7865
2024-06-21,203,225,239,791,7851
2024-06-22,219,282,309,728,7824
2024-06-23,194,225,257,697,7792
2024-06-24,224,246,313,675,7725
2024-06-25,253,246,231,682,7740
2024-06-26,245,236,244,691,7732
2024-06-27,226,228,260,689,7700
2024-06-28,186,193,226,682,7667
2024-06-29,225,233,222,674,7678
2024-06-30,213,206,214,681,7670
2024-07-01,220,220,155,681,7735
2024-07-02,212,244,247,649,7732
2024-07-03,230,192,197,687,7727
2024-07-04,180,177,122,690,7782
2024-07-05,183,201,217,672,7766
2024-07-06,212,215,183,669,7798
2024-07-07,199,205,236,663,7767
2024-07-08,251,227,217,687,7777
2024-07-09,226,259,288,654,7748
2024-07-10,216,230,200,640,7778
2024-07-11,187,217,207,610,7788
2024-07-12,200,176,177,634,7787
2024-07-13,204,216,176,622,7827
2024-07-14,197,177,136,642,7868
2024-07-15,224,218,169,648,7917
2024-07-16,202,205,185,645,7937
2024-07-17,213,205,192,653,7950
2024-07-18,198,216,227,635,7939
2024-07-19,198,205,186,628,7958
2024-07-20,167,153,95,642,8016
2024-07-21,207,237,198,612,8055
2024-07-22,222,244,231,590,8068
2024-07-23,207,145,103,652,8110
2024-07-24,205,192,202,665,8100
2024-07-25,176,162,169,679,8093
2024-07-26,169,191,172,657,8112
2024-07-27,178,154,136,681,8130
2024-07-28,190,187,197,684,8120
2024-07-29,207,224,253,667,8091
2024-07-30,208,196,223,679,8064
2024-07-31,214,205,226,688,8043
2024-08-01,211,214,246,685,8011
2024-08-02,172,130,103,727,8038
2024-08-03,192,171,159,748,8050
2024-08-04,177,214,237,711,8027
2024-08-05,206,200,214,717,8013
2024-08-06,225,230,183,712,8060
2024-08-07,200,198,252,714,8006
2024-08-08,183,186,189,711,8003
2024-08-09,170,192,233,689,7962
2024-08-10,162,163,188,688,7937
2024-08-11,170,154,186,704,7905
2024-08-12,196,151,139,749,7917
2024-08-13,207,221,250,735,7888
2024-08-14,197,211,237,721,7862
2024-08-15,171,213,220,679,7855
2024-08-16,168,199,215,648,7839
2024-08-17,173,208,203,613,7844
2024-08-18,195,202,201,606,7845
2024-08-19,190,169,200,627,7814
2024-08-20,191,188,184,630,7818
2024-08-21,167,142,100,655,7860
2024-08-22,167,175,187,647,7848
2024-08-23,168,163,152,652,7859
2024-08-24,149,107,121,694,7845
2024-08-25,171,163,110,702,7898
2024-08-26,200,156,180,746,7874
2024-08-27,208,224,227,730,7871
2024-08-28,217,248,225,699,7894
2024-08-29,165,127,142,737,7879
2024-08-30,148,187,194,698,7872
2024-08-31,166,150,127,714,7895
2024-09-01,161,143,171,732,7867
2024-09-02,196,212,240,716,7839
2024-09-03,207,218,235,705,7822
2024-09-04,176,144,123,737,7843
2024-09-05,188,153,181,772,7815
2024-09-06,145,154,160,763,7809
2024-09-07,149,137,132,775,7814
2024-09-08,146,121,143,800,7792
2024-09-09,181,155,137,826,7810
2024-09-10,186,187,230,825,7767
2024-09-11,171,222,227,774,7762
2024-09-12,271,312,349,733,7725
2024-09-13,267,275,247,725,7753
2024-09-14,256,286,316,695,7723
2024-09-15,295,310,306,680,7727
2024-09-16,303,335,329,648,7733
2024-09-17,275,278,339,645,7672
2024-09-18,267,266,296,646,7642
2024-09-19,252,235,238,663,7639
2024-09-20,260,268,238,655,7669
2024-09-21,256,222,208,689,7683
2024-09-22,252,247,244,694,7686
2024-09-23,275,308,293,661,7701
2024-09-24,286,292,330,655,7663
2024-09-25,283,290,319,648,7634
2024-09-26,279,260,217,667,7677
2024-09-27,240,233,263,674,7647
2024-09-28,270,247,242,697,7652
2024-09-29,282,287,294,692,7645
2024-09-30,202,179,197,715,7627
2024-10-01,211,211,217,715,7621
2024-10-02,168,174,173,709,7622
2024-10-03,144,124,124,729,7622
2024-10-04,146,156,136,719,7642
2024-10-05,156,157,201,718,7598
2024-10-06,144,120,160,742,7558
2024-10-07,183,182,151,743,7589
2024-10-08,183,205,178,721,7616
2024-10-09,164,194,217,691,7593
2024-10-10,146,164,169,673,7588
2024-10-11,144,117,128,700,7577
2024-10-12,147,169,145,678,7601
2024-10-13,167,151,99,694,7653
2024-10-14,169,188,209,675,7632
2024-10-15,191,187,172,679,7647
2024-10-16,170,160,168,689,7639
2024-10-17,159,146,155,702,7630
2024-10-18,143,148,144,697,7634
2024-10-19,152,144,178,705,7600
2024-10-20,176,194,204,687,7590
2024-10-21,183,170,158,700,7602
2024-10-22,167,148,121,719,7629
2024-10-23,176,150,129,745,7650
2024-10-24,155,151,147,749,7654
2024-10-25,141,166,182,724,7638
2024-10-26,160,172,186,712,7624
2024-10-27,153,154,197,711,7581
2024-10-28,189,248,219,652,7610
2024-10-29,193,187,197,658,7600
2024-10-30,175,196,206,637,7590
2024-10-31,189,161,141,665,7610
2024-11-01,159,179,170,645,7619
2024-11-02,151,152,126,644,7645
2024-11-03,159,135,93,668,7687
2024-11-04,195,261,230,602,7718
2024-11-05,195,219,219,578,7718
2024-11-06,189,162,132,605,7748
2024-11-07,159,101,65,663,7784
2024-11-08,174,181,189,656,7776
2024-11-09,158,180,179,634,7777
2024-11-10,162,160,149,636,7788
2024-11-11,191,195,192,632,7791
2024-11-12,184,164,147,652,7808
2024-11-13,166,164,142,654,7830
2024-11-14,166,132,159,688,7803
2024-11-15,164,166,196,686,7773
2024-11-16,169,182,169,673,7786
2024-11-17,190,140,149,723,7777
2024-11-18,173,218,191,678,7804
2024-11-19,170,175,142,673,7837
2024-11-20,203,222,244,654,7815
2024-11-21,180,170,151,664,7834
2024-11-22,183,121,76,726,7879
2024-11-23,151,140,185,737,7834
2024-11-24,162,162,159,737,7837
2024-11-25,211,227,247,721,7817
2024-11-26,234,256,249,699,7824
2024-11-27,205,185,199,719,7810
2024-11-28,165,213,180,671,7843
2024-11-29,169,152,154,688,7841
2024-11-30,186,186,214,688,7813
2024-12-01,196,184,187,700,7810
2024-12-02,202,175,155,727,7830
2024-12-03,214,270,268,671,7832
2024-12-04,178,183,149,666,7866
2024-12-05,187,190,233,663,7823
2024-12-06,170,182,225,651,7780
2024-12-07,202,188,168,665,7800
2024-12-08,182,198,189,649,7809
2024-12-09,219,209,197,659,7821
2024-12-10,218,210,230,667,7801
2024-12-11,185,174,177,678,7798
2024-12-12,185,171,198,692,7771
2024-12-13,208,198,144,702,7825
2024-12-14,156,155,156,703,7824
2024-12-15,235,219,227,719,7816
2024-12-16,221,199,209,741,7806
2024-12-17,210,199,197,752,7808
2024-12-18,209,198,185,763,7821
2024-12-19,188,209,223,742,7807
2024-12-20,183,212,188,713,7831
2024-12-21,195,189,160,719,7860
2024-12-22,204,194,187,729,7867
2024-12-23,230,290,296,669,7861
2024-12-24,237,241,254,665,7848
2024-12-25,232,196,217,701,7827
2024-12-26,221,223,179,699,7871
2024-12-27,190,182,155,707,7898
2024-12-28,173,166,188,714,7876
2024-12-29,195,226,211,683,7891
2024-12-30,203,244,217,642,7918
2024-12-31,238,251,281,629,7888
2025-01-01,252,217,198,664,7907
2025-01-02,179,213,236,630,7884
2025-01-03,184,163,161,651,7886
2025-01-04,208,212,219,647,7879
2025-01-05,221,222,238,646,7863
2025-01-06,258,269,253,635,7879
2025-01-07,214,236,266,613,7849
2025-01-08,242,230,310,625,7769
2025-01-09,208,220,216,613,7773
2025-01-10,216,214,190,615,7797
2025-01-11,197,176,156,636,7817
2025-01-12,203,166,148,673,7835
2025-01-13,228,213,223,688,7825
2025-01-14,244,225,195,707,7855
2025-01-15,236,261,263,682,7853
2025-01-16,219,238,244,663,7847
2025-01-17,212,188,150,687,7885
2025-01-18,208,224,191,671,7918
2025-01-19,239,230,198,680,7950
2025-01-20,230,232,205,678,7977
2025-01-21,251,273,267,656,7983
2025-01-22,255,245,278,666,7950
2025-01-23,204,213,225,657,7938
2025-01-24,195,193,195,659,7936
2025-01-25,219,239,255,639,7920
2025-01-26,246,290,319,595,7891
2025-01-27,248,243,230,600,7904
2025-01-28,244,248,213,596,7939
2025-01-29,216,195,213,617,7921
2025-01-30,236,248,221,605,7948
2025-01-31,201,198,208,608,7938
2025-02-01,224,197,165,635,7970
2025-02-02,259,279,282,615,7967
2025-02-03,243,221,268,637,7920
2025-02-04,250,247,222,640,7945
2025-02-05,250,234,248,656,7931
2025-02-06,213,203,185,666,7949
2025-02-07,232,226,220,672,7955
2025-02-08,211,231,180,652,8006
